customer_id,segment,loyalty_status,age_group,country
5001,individual,regular,18-24,France
5002,individual,premium,25-34,France
5003,individual,new,35-44,Belgium
5004,individual,regular,18-24,France
5005,individual,new,45-54,Switzerland
5006,professional,regular,25-34,France
5007,individual,new,18-24,Belgium
5008,individual,regular,35-44,France
5009,individual,premium,25-34,Switzerland
5010,professional,premium,45-54,France
5011,individual,regular,18-24,Belgium
5012,individual,new,25-34,France
5013,professional,premium,35-44,Switzerland
5014,individual,regular,18-24,France
5015,individual,new,25-34,Belgium
5016,individual,regular,45-54,France
5017,professional,regular,35-44,Switzerland
5018,individual,premium,18-24,France
5019,individual,new,25-34,Belgium
5020,individual,regular,35-44,France
5021,professional,premium,18-24,Switzerland
5022,individual,new,45-54,France
5023,individual,regular,25-34,Belgium
5024,professional,regular,18-24,France
5025,individual,premium,35-44,Switzerland
5026,individual,new,25-34,France
5027,individual,regular,45-54,Belgium
5028,professional,new,18-24,France
5029,individual,regular,25-34,Switzerland
5030,individual,premium,35-44,France
